Seq,DateListed,年度,類別,項目別,總計,未滿1年,年資1年_未滿3年,年資3年_未滿5年,年資5年_未滿7年,年資7年_未滿9年,年資9年_未滿12年,年資12年_未滿15年,年資15年及以上,平均年資_年,樣本數_人,母體數_人
1,"20230401","103","總計","-","100.000000000001","18.1262520036518","20.0528143199708","12.6565875748517","10.9615533548223","5.53685558433946","9.82865296173781","3.7415155451896","19.0957686554377","7.69730164165208","30225.5864565936","235643.104494163"
2,"20230401","103","性別","男","99.9999999999999","19.4403738158542","18.4352181766348","11.4254974613038","10.2466240125053","5.30368255161459","9.70107016107272","3.66500890916762","21.7825249118469","8.22514172576649","16624.2180759134","129603.869860044"
3,"20230401","103","性別","女","99.9999999999999","16.5200986499743","22.029881777788","14.1612574587183","11.835358317301","5.82184564007121","9.98458793006161","3.83502391624321","15.8119463098423","7.05216196477166","13601.3683806803","106039.234634123"
4,"20230401","103","年齡","15 ~ 19歲","100","53.6458622272627","41.8943874016272","4.28534893521802","0.174401435892189","0","0","0","0","0.943508753885281","976.549929090396","7613.94440913662"
5,"20230401","103","年齡","20 ~ 24歲","99.9999999999995","32.4105759934546","46.0491367857724","15.8075694559766","4.97002691507875","0.6659033500754","0.0967874996418677","0","0","1.70915811960458","3019.68096107369","23542.746216537"
6,"20230401","103","年齡","25 ~ 29歲","100","19.5010241706065","31.289344019596","24.0378439736404","15.8226185248103","5.88986412920494","3.07278708004239","0.325560098548843","0.0609580035507405","3.09092409469823","3777.53149267266","29449.5372196931"
7,"20230401","103","年齡","30 ~ 34歲","100","15.1817974078342","21.0611436385865","17.1500290533117","17.0450725420183","9.71492205055087","13.2870022895216","4.173545048797","2.38648796938018","4.91940108708962","4348.98387446459","33905.0111326193"
8,"20230401","103","年齡","35 ~ 39歲","100","14.3468395725344","15.7953365054391","13.0980750238435","15.1563956207115","8.29829311536897","13.9012768464195","6.58908996624011","12.8146933494429","6.69940367862431","3985.74650895717","31073.7241075274"
9,"20230401","103","年齡","40 ~ 44歲","99.9999999999999","14.8068775116278","12.8274053683314","10.6479188839776","10.81571797253","6.15053158742059","14.665548363107","4.98589956506602","25.1001007479395","8.56265895375653","3734.83358892533","29116.8651503175"
10,"20230401","103","年齡","45 ~ 49歲","99.9999999999999","14.4976497993303","11.217795060596","8.07953896852534","8.21857776569368","5.42765676271351","13.2373161978693","4.42930154138122","34.8921639038906","10.5865224245762","3722.9947708237","29025.2459497555"
11,"20230401","103","年齡","50 ~ 54歲","100","14.2186336646557","10.6534547657095","6.73355662788233","8.85705214660909","3.74520800555667","11.3454020067731","6.07119505527626","38.3754977275373","11.9291364483428","3119.83512657264","24324.2289471465"
12,"20230401","103","年齡","55 ~ 59歲","99.9999999999998","14.3790818647965","8.97168094602388","6.13917474917797","6.97301663309669","4.07424595585818","9.78849037154756","4.78098485273255","44.8933246267665","14.4851947741914","2166.27836377887","16888.0801259089"
13,"20230401","103","年齡","60 ~ 64歲","100","11.2244018648748","9.00737553623183","6.74928928031348","6.32371590891918","2.90995333867383","8.78783622452628","2.60122655696052","52.3962012895001","17.3501923673685","985.065594742591","7679.13091500312"
14,"20230401","103","年齡","65歲及以上","99.9999999999999","12.6222348590461","5.59889203433833","5.76394074960253","4.82781453248514","3.13192444854595","6.88755461388162","1.22125772861481","59.9463810334854","25.053681886071","388.086245491996","3024.59032052134"
15,"20230401","103","教育程度","小學及以下","99.9999999999999","15.815543585912","10.9425765057634","6.97143403149067","7.33639674048014","3.64417328318069","11.0774416629094","4.05186728023526","40.1605669100284","13.7300049755225","4107.71811374429","32023.8560358909"
16,"20230401","103","教育程度","國(初)中","100","19.8982914791016","16.3901218828377","10.6151261170897","11.1812862081779","4.94985512262838","11.2978418024894","3.94569426029028","21.7217831273855","8.05085958407066","7272.19785518235","56698.5471166591"
17,"20230401","103","教育程度","高級中等(高中、高職)","99.9999999999995","18.5460017415762","22.0692767079013","14.1449831480023","11.837087320625","6.06950502990881","9.66277240646483","3.86672295011183","13.8036506954092","6.32396956425435","12593.1623219555","98178.7722171691"
18,"20230401","103","教育程度","專科","100","11.9400158356344","18.8956212944122","13.6247117915894","11.7639367928482","7.96368190762376","11.297236480631","4.23499394529649","20.2798019519648","8.18104081900252","2173.9375209442","16947.5022611449"
19,"20230401","103","教育程度","大學及以上","100","19.2948991919308","30.1505592884184","16.9111791279006","11.089742961022","5.55162375998223","5.68029148571557","2.41514373944295","8.90656044558755","4.97346709364317","4078.57064476732","31794.4268633025"
20,"20230401","103","婚姻狀況","未婚","99.9999999999991","25.0730685064431","31.2413337970682","16.2415446605369","10.8181724498654","4.52227307285201","5.65355215450776","1.8582271885432","4.59182817018261","3.78655916235538","10790.809738809","84125.0629637021"
21,"20230401","103","婚姻狀況","有配偶","100","13.1756368354507","13.1672177657979","10.7828845585238","11.2669119105584","6.23870293842542","12.4182429213816","4.89899644671558","28.0514066231468","10.1229546029696","16339.0522564285","127385.055797693"
22,"20230401","103","婚姻狀況","離婚或分居","100","20.9723900977502","19.8459790804392","10.4899389335147","10.6522391119272","5.13679899003855","10.6150818361856","4.1440940815245","18.1434778686202","7.21391758685893","2266.75595114473","17671.2027300708"
23,"20230401","103","婚姻狀況","喪偶","100","17.4976840809347","10.6966077198703","8.84716069127244","7.6543803499296","6.00366706333323","10.9828874368612","4.34072096945935","33.9768916883393","12.1142709362214","828.96851021141","6461.78300270015"
24,"20230401","103","個人每月收入","未滿1萬元","100","23.5858108687546","21.2172040668729","7.45128879536581","6.87425707597458","2.81174442790521","7.33340393365677","2.70929299666086","28.0169978348093","10.133580468399","1515.00186585482","11815.1919202012"
25,"20230401","103","個人每月收入","1萬元 ~ 未滿2萬元","100","27.5631143664586","20.5819741178251","9.07836586593827","7.40627442094102","3.15475134625662","8.04508647948845","3.03105470228789","21.1393787008041","8.23711553477377","4887.34693105412","38104.6028014754"
26,"20230401","103","個人每月收入","2萬元 ~ 未滿3萬元","99.9999999999998","19.4770558201449","24.5605423891336","14.987196041187","11.6529321248177","5.21433605074735","8.53469956544968","3.18359246230543","12.3896455462141","5.93448039454253","11505.5357537143","89701.5070236694"
27,"20230401","103","個人每月收入","3萬元 ~ 未滿4萬元","99.9999999999998","14.1474537859956","17.8015555398294","13.753637308676","13.0042368813353","7.11419492214232","12.1272436422975","3.98259914233977","18.0690787773838","7.64485583596726","7612.28354147834","59339.7067611918"
28,"20230401","103","個人每月收入","4萬元 ~ 未滿5萬元","99.9999999999997","11.7920826273527","13.5354744415672","11.2189342216754","11.5922299417865","6.81432392468168","12.487954575466","6.176299880451","26.3827003870193","9.52879552837548","2894.24479627222","22563.6245594908"
29,"20230401","103","個人每月收入","5萬元 ~ 未滿6萬元","100","7.08422087630793","8.58873408679592","10.8692950447044","10.5487224041543","7.86230242206813","11.6639230596374","6.20041809984086","37.1823840064911","11.8306026925266","1093.30723334261","8523.99701839006"
30,"20230401","103","個人每月收入","6萬元 ~ 未滿7萬元","100","6.32311283134795","8.88645095809956","6.10281627598579","7.09035763258372","6.16349586637207","10.1450623330741","3.38231488871472","51.9063892138221","14.5424059061221","429.363147700442","3346.69511598208"
31,"20230401","103","個人每月收入","7萬元及以上","99.9999999999999","3.61571793445264","10.0265328643113","9.67481836810061","12.1979089087288","8.89790161804843","10.0108619121406","3.88091736866313","41.6953410255544","13.2225247199777","288.503187176864","2247.77929376582"
32,"20230401","104","總計","-","100","20.0177048930591","19.5867819933246","12.5819190459702","11.3893730644776","4.87933253727421","10.2445965364047","3.22623694026127","18.0740549892286","7.25150646441105","30945.3724111569","237395.248278043"
33,"20230401","104","性別","男","99.9999999999994","21.7781903664912","17.4518775040176","11.1904461795495","10.3962852470978","4.71171888211942","10.2301522744095","3.20626748859137","21.0350620577229","7.84627309742555","17035.1238284832","130679.532583005"
34,"20230401","104","性別","女","100.000000000001","17.8618891606815","22.2010953487187","14.2858576139823","12.6054662232391","5.08458509981849","10.2622843661095","3.25069068255372","14.4481315048978","6.52318050893105","13910.2485826735","106715.715695039"
35,"20230401","104","年齡","15 ~ 19歲","100","56.2326610156743","39.4804892777695","4.06517295021135","0.221676756344945","0","0","0","0","0.864683476610664","947.468677960354","7272.77431080375"
36,"20230401","104","年齡","20 ~ 24歲","100.000000000001","35.3411533386325","45.8500256051933","14.7056558421344","3.63208057588945","0.294816343264947","0.176268294886053","0","0","1.57430710249217","3055.50428449792","23443.4782814656"
37,"20230401","104","年齡","25 ~ 29歲","100","21.9729357289461","32.1246551142543","24.6363635039316","13.8434543248703","4.40087245776266","2.65018255572817","0.225856138716358","0.145680175790588","2.83572559318105","4025.1758929337","30874.2320999868"
38,"20230401","104","年齡","30 ~ 34歲","100","17.9567877039995","18.8340788221056","17.2726123166154","18.4292622471899","8.33982314818076","12.8095692362762","3.83719097996786","2.52067554566502","4.78120144832521","4435.27570876347","34024.0086891948"
39,"20230401","104","年齡","35 ~ 39歲","100.000000000001","16.2425174497584","15.5436927830758","12.8049793773723","15.7359537668744","7.185706038286","15.6618083695858","5.95860532234415","10.8667368927037","6.29751093493492","4179.90984522367","32063.4336639422"
40,"20230401","104","年齡","40 ~ 44歲","100","15.035103686083","13.0280256996637","10.0778666445764","12.490760764215","4.77251019108441","14.9243156287221","4.95598259409663","24.7154347915587","8.36188900172396","3767.19481547802","28900.2012864856"
41,"20230401","104","年齡","45 ~ 49歲","99.9999999999999","15.2545580842596","10.8267232015767","7.44012138179348","10.6117724812814","5.46244629232165","14.0049240673538","3.75875255662647","32.6407019347869","10.1652976216699","3695.80598625986","28352.1525146094"
42,"20230401","104","年齡","50 ~ 54歲","99.9999999999997","16.7128565879209","9.24603132985806","6.30161771190443","7.64444789075304","5.05352834225085","12.5740006984203","3.96883249076491","38.4986849481272","11.739845451626","3229.48271966525","24773.8540948954"
43,"20230401","104","年齡","55 ~ 59歲","100","16.7555931610073","9.03792142223593","6.85788354246882","8.1974395177988","3.21338116374125","10.4397169633013","3.7697885355774","41.7282756938695","12.9310191727516","2206.34874251672","16928.0142939783"
44,"20230401","104","年齡","60 ~ 64歲","100","13.0220623457521","9.04400091211328","7.96092323908647","6.38569657097268","2.9165273804945","8.99589462112965","2.92558425152491","48.7493106789265","15.9890636622663","1034.29415051908","7933.66113163906"
45,"20230401","104","年齡","65歲及以上","100","12.8860255798105","6.88960844967295","5.69945615133229","6.13806504719693","2.07241344700614","7.09455796175229","0.764707799127454","58.4551655641015","21.0901002064646","368.911587338637","2829.4379110431"
46,"20230401","104","教育程度","小學及以下","100","17.9143914746081","10.1544069554244","7.3222895174488","7.46928079080149","3.12402453545883","11.229678651624","3.2757777369591","39.5101503376753","12.8949705910432","3721.23646056284","28553.0521610227"
47,"20230401","104","教育程度","國(初)中","100","21.6207490393812","15.8114972714549","10.6808825213471","11.0438843547982","5.25528858161927","11.6571325354951","3.62601428588179","20.3045514100224","7.66705804165912","7374.04985860354","56558.6104041407"
48,"20230401","104","教育程度","高級中等(高中、高職)","100","20.1741294603802","21.1251492216945","13.8192445426186","12.8153722275505","5.07589489090949","10.2039134166681","3.14446763962424","13.6418286005543","6.18235537272848","12913.1120802994","99061.3899145957"
49,"20230401","104","教育程度","專科","100","14.0870535558494","17.5539118464139","13.6939399953334","11.4963198987363","5.63245303189186","11.9787473172818","4.22896368080573","21.3286106736876","8.10309828386841","2166.06838242641","16615.8388306548"
50,"20230401","104","教育程度","大學及以上","99.9999999999999","21.4501659321662","29.5367751437988","15.7685272133218","11.0733757641538","4.79383866460901","6.61674528951609","2.33605391934478","8.4245180730894","4.71425686402176","4770.90562926456","36606.3569676303"
51,"20230401","104","婚姻狀況","未婚","100.000000000001","27.2519572905556","29.9269054591525","16.3538654157642","10.5028193922925","3.69640743313638","6.12337429162813","1.70003573878813","4.444634978683","3.6911822221443","11570.820539952","88764.9512560709"
52,"20230401","104","婚姻狀況","有配偶","100","14.9880849422077","13.1331771849318","10.4214686516671","12.3941230048248","5.66121332006404","12.9023438817917","4.14422014447595","26.3553688700371","9.43859161739511","16521.9608953421","126747.073925024"
53,"20230401","104","婚姻狀況","離婚或分居","99.9999999999999","20.6885983075624","16.3684737591895","9.78745686783348","10.109632248391","5.76620243065793","12.1037592528098","4.45857912682419","20.7172980067316","7.87526968699154","2097.70106021027","16092.2136949969"
54,"20230401","104","婚姻狀況","喪偶","100","17.3489801798652","11.2850641896125","9.81611671820632","6.54386914044408","3.4339002418935","10.0788825397044","3.10369809546153","38.3894888948124","12.2225971990352","754.889915652455","5791.00940195153"
55,"20230401","104","個人每月收入","未滿1萬元","100","30.3966265766783","18.2007588737937","7.8495545023978","6.99273484301322","2.95003980184429","7.34908778051971","2.93406605170771","23.3271315700454","8.23828392828716","1083.97157172886","8314.39433635557"
56,"20230401","104","個人每月收入","1萬元 ~ 未滿2萬元","100","30.9335664255512","20.5346074408767","9.72243308326695","6.59147002777918","3.27212522929384","7.12251302670246","2.56492172009786","19.258363046432","7.44547997022762","4168.05846445077","31974.9069225037"
57,"20230401","104","個人每月收入","2萬元 ~ 未滿3萬元","100.000000000001","20.9257502102031","24.4664505572653","14.7654546266831","12.0442868370344","4.40614236492983","9.15286369799026","2.48787362025496","11.7511780856398","5.74157090426923","12019.2515317261","92198.8918180396"
58,"20230401","104","個人每月收入","3萬元 ~ 未滿4萬元","100","16.5203675466317","16.5043031612221","14.1738556718846","13.0775801655099","5.96212187908359","12.4081506736091","3.6772787125862","17.676342189473","7.37094711732719","8445.24592254678","64789.5543072801"
59,"20230401","104","個人每月收入","4萬元 ~ 未滿5萬元","100","15.0888753217289","14.8152176166006","8.55179957658586","13.5012912087175","6.23645661951654","12.5247928156924","5.17368529630447","24.1078815448539","8.88616564838797","3109.41373967579","23857.2421990346"
60,"20230401","104","個人每月收入","5萬元 ~ 未滿6萬元","99.9999999999999","10.0989469627183","10.6378154469672","8.07146134548354","11.1409226991217","6.15984628665361","11.6156784243752","5.48873423816099","36.7865945965194","11.2107599817069","1357.92927951186","10418.3466374845"
61,"20230401","104","個人每月收入","6萬元 ~ 未滿7萬元","99.9999999999999","5.70673241309004","8.47844511075513","6.41906016374611","6.11420199373844","3.3713798992901","14.0754967620517","1.81919099909326","54.0154926582351","14.2181769369445","463.575452958318","3555.26275731447"
62,"20230401","104","個人每月收入","7萬元及以上","100","10.9855627467746","9.78753858302794","8.80685303522946","7.52603286273133","5.11918966342871","11.1542780730701","2.08849835889895","44.5320466768389","12.5227377086483","297.926448558202","2286.6493000309"
63,"20230401","106","總計","-","99.9999999999969","18.2005987458361","20.4325465101915","13.2284876649228","10.9407672250363","5.01826594154741","9.1593016558246","3.56290048865582","19.4571317679824","7.6381657301325","28985.9717949819","248676.461122412"
64,"20230401","106","性別","男","99.999999999999","18.9825594520513","18.6480691815007","12.2431541217231","10.4271520454625","4.82117148163893","9.3117632405007","3.37407906899064","22.1920514081312","8.24008837925315","15420.5741519573","132297.179049921"
65,"20230401","106","性別","女","99.9999999999997","17.3116845532256","22.4610975758134","14.3485912251721","11.5246326533569","5.24231820057451","8.98598697981972","3.77754815378207","16.3481406582554","6.95391448655391","13565.3976430254","116379.282072483"
66,"20230401","106","年齡","15 ~ 19歲","100","60.6273228370774","33.8911149140501","4.16342887192022","1.25476239344386","0.0633709835088928","0","0","0","0.889863676659236","818.392662506614","7017.03718476257"
67,"20230401","106","年齡","20 ~ 24歲","100.000000000001","35.3595111685782","43.4745143813895","15.8168453510681","4.61157822289653","0.605469815140655","0.132081060928108","0","0","1.66715167671475","2909.22259272875","24958.9535123851"
68,"20230401","106","年齡","25 ~ 29歲","99.9999999999984","21.1141595273108","35.402345336367","23.2881633188784","13.2136990448347","4.16762810661289","2.41629079322489","0.372132385460248","0.0255814873095032","2.82161388270508","3775.03134001908","32389.8028712276"
69,"20230401","106","年齡","30 ~ 34歲","100.000000000001","15.733410744555","22.1096078157237","18.9543360694053","18.1747870653433","8.17113884410412","10.7380958581643","4.008136766287","2.1104868364178","4.63677854919534","3611.65743760245","30986.2157069288"
70,"20230401","106","年齡","35 ~ 39歲","99.9999999999998","14.7433751759781","17.9574577833266","14.6503286566843","14.0388388720666","6.646312951654","13.5484932016432","6.5056465648622","11.9095467937849","6.42114718390628","3975.56100725478","34112.0140917137"
71,"20230401","106","年齡","40 ~ 44歲","100.000000000001","13.0844797525561","13.2880933088612","11.9198050087808","12.0054610247295","6.12651972825565","12.8143542509851","4.30578514050765","26.4555017853254","8.62179036320089","3559.98865103382","30532.6938683857"
72,"20230401","106","年齡","45 ~ 49歲","99.9999999999998","12.771927319177","11.8637784292023","9.15904882108091","9.3960118876741","5.61494039209171","13.0755682708132","4.70836610646749","33.4103587734931","10.4456085911628","3357.54684198488","28802.5823342789"
73,"20230401","106","年齡","50 ~ 54歲","99.9999999999993","12.7049053051305","10.3640732140168","7.32017380506647","7.98704118863617","5.38523134855055","11.3545987607961","4.73604195228281","40.1479344255199","12.318023475874","2972.34533408606","25500.554219514"
74,"20230401","106","年齡","55 ~ 59歲","99.9999999999995","13.8534522309515","9.53604215411159","6.38126963275691","8.9442592255357","3.98918116473582","9.79929088313389","4.52116829480683","42.9753364139673","13.643746582081","2236.95673256164","19191.8346104968"
75,"20230401","106","年齡","60 ~ 64歲","99.9999999999994","13.7091677243361","7.63425344770156","5.25720355219732","8.97172445875464","3.93864109175261","9.33392136252033","3.71434822557926","47.4407401371576","15.6438711174065","1239.20380576501","10635.1016114316"
76,"20230401","106","年齡","65歲及以上","100","8.95642348087746","8.33974310628242","6.91403895017111","4.1369916438309","2.83750828740037","12.4172862397514","3.01439173058411","53.3836165611025","20.0070186989815","530.065389439823","4549.67111127877"
77,"20230401","106","教育程度","小學及以下","99.9999999999992","17.0705273638166","10.3316064027504","6.18405457780979","7.32720357789015","3.90884714827395","9.91204393378835","3.97497433750034","41.2907426581697","14.053136220854","2933.30188193989","25186.0668209406"
78,"20230401","106","教育程度","國(初)中","100.000000000001","19.4538796107874","15.6844483020435","10.8598139587588","10.4387642776985","4.74822011961197","10.3309108644841","3.34146101759451","25.1425018490218","8.72813954946246","6140.95480318334","52672.0161383316"
79,"20230401","106","教育程度","高級中等(高中、高職)","100","18.4848335160325","21.2133796630848","14.1789565972533","11.4640353238759","5.30393137090975","9.65030736387202","3.68141440785591","16.0231417571157","6.73728238917235","12107.9709400446","103873.270471118"
80,"20230401","106","教育程度","專科","100","14.0284589583934","22.2292990694587","13.4263870638687","11.3002026097672","5.922317464609","9.04374008492309","3.71270330761663","20.3368914413634","7.57486004891521","2244.5871799139","19257.7561910922"
81,"20230401","106","教育程度","大學及以上","100","18.4788880329884","28.5853528562007","17.4150268830588","12.1188044464184","4.91515154500331","6.44481774046407","3.27120572665151","8.77075276921522","5.03407542496088","5559.15698990126","47687.3515009196"
82,"20230401","106","婚姻狀況","未婚","100","25.6061597999954","30.4935682383381","16.9953649349072","10.6858605664023","3.8005774907394","5.11078326988025","1.79992441005763","5.5077612896799","3.8952667300555","10365.3166693062","88928.1335853862"
83,"20230401","106","婚姻狀況","有配偶","100.000000000001","13.2024883486545","14.4803563259962","11.2329837942495","11.1707317046505","5.83762822728521","11.4804402650096","4.60362875702097","27.991742577134","9.90978457705961","15411.8576597152","132211.230471968"
84,"20230401","106","婚姻狀況","離婚或分居","100","19.4671186336538","18.018628389927","11.3558418645121","10.8660289901517","4.72598045068789","11.2718116735856","4.28400185230202","20.0105881451798","7.67681367250376","2349.87609985244","20162.9276527176"
85,"20230401","106","婚姻狀況","喪偶","100","15.0418503337634","12.4194624233216","8.69979849989428","10.0961199905344","5.8117378701307","10.5902703504806","4.19248904200516","33.1482714898698","11.9418699060823","858.921366109218","7374.16941232908"
86,"20230401","106","個人每月收入","未滿1萬元","100","30.3498454897753","17.3717481522993","7.72642921167682","10.575754811495","2.2056255183505","8.6582168851517","1.29493815606164","21.8174417751896","8.34427807497464","930.803914036471","7976.91249217853"
87,"20230401","106","個人每月收入","1萬元 ~ 未滿2萬元","99.9999999999998","26.2918881294201","19.0952348963192","9.89784758551555","9.42221044713687","3.19215846112627","7.65962050402878","2.44400594988577","21.9970340265673","8.06534135027649","3262.73142322148","27973.5026242376"
88,"20230401","106","個人每月收入","2萬元 ~ 未滿3萬元","100","21.3503487787857","24.9591757695219","14.388842387466","10.5760027214726","4.77516249959877","7.77117455023552","2.95390665944064","13.225386633479","6.11509659638107","11346.0205410735","97363.2698116598"
89,"20230401","106","個人每月收入","3萬元 ~ 未滿4萬元","99.9999999999999","15.2412087512492","19.3950618104292","14.3630169762749","11.864045053289","5.40509958836764","10.380130853599","4.10140480187373","19.2500321649172","7.70209449317479","8195.28012841303","70314.1146423339"
90,"20230401","106","個人每月收入","4萬元 ~ 未滿5萬元","100","10.5266722271377","14.9627522982127","12.4525674623485","11.2169896108933","6.47097022864065","11.9858185579936","5.3634268140643","27.0208028007093","9.54598134128993","3034.41835227345","26034.9179037476"
91,"20230401","106","個人每月收入","5萬元 ~ 未滿6萬元","100","7.34133816122834","12.9159483423189","11.7579058091177","13.0681459058101","6.1123696750999","10.4356792860627","5.21453117438007","33.1540816459825","10.8454831575742","1299.05630012832","11145.9483733142"
92,"20230401","106","個人每月收入","6萬元 ~ 未滿7萬元","99.9999999999999","3.84696070866736","8.77896180012427","10.846940995012","11.0561028564864","8.62865808236263","11.0908034410675","4.94546351315902","40.8061086031207","12.6155993611677","534.374670282295","4582.05775022045"
93,"20230401","106","個人每月收入","7萬元及以上","100","7.50531990458904","12.4354317778873","10.746597599709","6.24221438682773","6.05334749039327","8.7296951550622","3.31697343129472","44.970420254237","13.0996828137568","383.286465554362","3285.73752471018"
94,"20230401","108","總計","-","100","17.6393489387826","21.0690911684234","13.293190533418","10.9272196517252","5.29881103939847","8.78406443921671","3.28691661470526","19.7013576143304","7.73829124699997","28236.1881145839","259407.25"
95,"20230401","108","性別","男","100","17.7247465409812","19.5024090334616","13.1782132863852","10.5883413450483","5.08923265983417","8.60058979467566","3.20266235450597","22.113804985108","8.26592951530504","14793.5586796913","135894.75"
96,"20230401","108","性別","女","100","17.5453901426981","22.7928347333266","13.4196943629187","11.3000708430321","5.52939985831394","8.98593259791519","3.37961744762676","17.0470600141686","7.15775672165434","13442.6294348924","123512.5"
97,"20230401","108","年齡","15 ~ 24歲","100","43.6385467880381","39.5130539194211","12.4730240633468","3.74336757046196","0.580895357704977","0.0511123010271139","0","0","1.47209308929238","3351.84674071953","30814.5"
98,"20230401","108","年齡","15 ~ 19歲","100","62.4951539117624","30.9180429557261","5.54780181437544","1.039001318136","0","0","0","0","0.907087565583728","701.534629286628","6448.5"
